time,.destination_id,.distance,.stamp
1970/01/01/02:02:37.716000,"(26955, 26952, 26959, 26954)","(1942.9591775273611, 944.9968299620052, 4111.629093130025, 3737.5973336504426)","[genpy.Time[157716000000], genpy.Time[157716000000], genpy.Time[157716000000]]"
1970/01/01/02:02:37.916000,"(26955, 26952, 26959, 26954)","(1989.5238686911496, 966.5307922377991, 4079.3261738500687, 3715.2799862058105)","[genpy.Time[157916000000], genpy.Time[157916000000], genpy.Time[157916000000]]"
1970/01/01/02:02:38.123000,"(26955, 26952, 26959, 26954)","(1983.8238295399947, 976.7581725115831, 4044.720320027713, 3683.496255884744)","[genpy.Time[158123000000], genpy.Time[158123000000], genpy.Time[158123000000]]"
1970/01/01/02:02:38.328000,"(26955, 26952, 26959, 26954)","(1969.7510837724287, 1018.726568029013, 4016.5967020114717, 3635.216521078268)","[genpy.Time[158329000000], genpy.Time[158329000000], genpy.Time[158329000000]]"
1970/01/01/02:02:38.529000,"(26955, 26952, 26959, 26954)","(1995.5150469227265, 1015.8149853712454, 3946.1371906146383, 3577.5957052859553)","[genpy.Time[158529000000], genpy.Time[158529000000], genpy.Time[158529000000]]"
1970/01/01/02:02:38.732000,"(26955, 26952, 26959, 26954)","(2056.01897855073, 1059.9709393569276, 3913.9977671377196, 3526.8560607650907)","[genpy.Time[158730000000], genpy.Time[158730000000], genpy.Time[158730000000]]"
1970/01/01/02:02:38.932000,"(26955, 26952, 26959, 26954)","(2032.2253920494377, 1086.2351540269763, 3866.832286214795, 3382.307755450398)","[genpy.Time[158930000000], genpy.Time[158930000000], genpy.Time[158930000000]]"
1970/01/01/02:02:39.132000,"(26955, 26952, 26959, 26954)","(2036.1287812275975, 1125.8146294853798, 3805.4558983726765, 3415.3957506177176)","[genpy.Time[159132000000], genpy.Time[159132000000], genpy.Time[159132000000]]"
1970/01/01/02:02:39.332000,"(26955, 26952, 26959, 26954)","(2080.0084528286548, 1146.554915720651, 3788.8257471858024, 3363.2369658343323)","[genpy.Time[159332000000], genpy.Time[159332000000], genpy.Time[159332000000]]"
1970/01/01/02:02:39.532000,"(26955, 26952, 26959, 26954)","(2087.1986407638024, 1169.7734935152423, 3695.211412734198, 3310.6174192072835)","[genpy.Time[159532000000], genpy.Time[159532000000], genpy.Time[159532000000]]"
1970/01/01/02:02:39.729000,"(26955, 26952, 26959, 26954)","(2132.726967749281, 1224.9436736704151, 3652.0917787199683, 3238.167783947445)","[genpy.Time[159732000000], genpy.Time[159732000000], genpy.Time[159732000000]]"
1970/01/01/02:02:39.934000,"(26955, 26952, 26959, 26954)","(2154.203840556808, 1250.1579327256702, 3609.3891233562954, 3215.678544079146)","[genpy.Time[159934000000], genpy.Time[159934000000], genpy.Time[159934000000]]"
1970/01/01/02:02:40.139000,"(26955, 26952, 26959, 26954)","(2207.2513655724338, 1295.0309021092005, 3609.656015370358, 3137.9050031072175)","[genpy.Time[160139000000], genpy.Time[160139000000], genpy.Time[160139000000]]"
1970/01/01/02:02:40.339000,"(26955, 26952, 26959, 26954)","(2235.1569062629246, 1329.1318526618004, 3571.3610812980296, 3127.1752440698956)","[genpy.Time[160339000000], genpy.Time[160339000000], genpy.Time[160339000000]]"
1970/01/01/02:02:40.540000,"(26955, 26952, 26959, 26954)","(2236.5243353946257, 1361.8626253403534, 3526.4079473002125, 3017.6471907594573)","[genpy.Time[160540000000], genpy.Time[160540000000], genpy.Time[160540000000]]"
1970/01/01/02:02:40.740000,"(26955, 26952, 26959, 26954)","(2245.851115272885, 1411.5088897112682, 3497.363861039306, 2979.714576389816)","[genpy.Time[160740000000], genpy.Time[160740000000], genpy.Time[160740000000]]"
1970/01/01/02:02:40.943000,"(26955, 26952, 26959, 26954)","(2323.2105611628117, 1449.0441222352958, 3436.089645508049, 2984.365947684696)","[genpy.Time[160941000000], genpy.Time[160941000000], genpy.Time[160941000000]]"
1970/01/01/02:02:41.144000,"(26955, 26952, 26959, 26954)","(2314.014441387183, 1502.9512503939916, 3430.183655351954, 2861.6556348874756)","[genpy.Time[161144000000], genpy.Time[161144000000], genpy.Time[161144000000]]"
1970/01/01/02:02:41.344000,"(26955, 26952, 26959, 26954)","(2352.954699089332, 1551.6622287592375, 3331.584092769267, 2829.109972801291)","[genpy.Time[161344000000], genpy.Time[161344000000], genpy.Time[161344000000]]"
1970/01/01/02:02:41.547000,"(26955, 26952, 26959, 26954)","(2375.538052953219, 1571.0316017353678, 3307.2623566914463, 2789.716880192799)","[genpy.Time[161546000000], genpy.Time[161546000000], genpy.Time[161546000000]]"
1970/01/01/02:02:41.749000,"(26955, 26952, 26959, 26954)","(2429.6706604550914, 1637.5834865490433, 3259.013527763103, 2752.3346743084653)","[genpy.Time[161748000000], genpy.Time[161748000000], genpy.Time[161748000000]]"
