time,destination_id,distance,stamp,secs,nsecs,secs,nsecs
132743000000,"(26955, 26952, 26959, 26954)","(2650.0363106778323, 3196.6177876605825, 1696.2872656195248, 2432.992054262084)",132,752000000,132,752000000,132,752000000
132956000000,"(26955, 26952, 26959, 26954)","(2653.63061506643, 3155.425539990003, 1714.9932257420828, 2440.054986054841)",132,955000000,132,955000000,132,955000000
133157000000,"(26955, 26952, 26959, 26954)","(2600.0697879673676, 3174.3916001727575, 1755.756143449029, 2480.627564341992)",133,157000000,133,157000000,133,157000000
133357000000,"(26955, 26952, 26959, 26954)","(2542.4722567539598, 3082.72159252752, 1804.2779064422327, 2494.316173898897)",133,357000000,133,357000000,133,357000000
133561000000,"(26955, 26952, 26959, 26954)","(2527.7020463527647, 3085.440494040974, 1855.2390685608514, 2569.2332519081683)",133,560000000,133,560000000,133,560000000
133762000000,"(26955, 26952, 26959, 26954)","(2440.885286904523, 3015.031275789951, 1894.1029082933546, 2591.5540599332626)",133,761000000,133,761000000,133,761000000
133964000000,"(26955, 26952, 26959, 26954)","(2406.107744811867, 2970.049409616638, 1954.8948405935828, 2596.262836963073)",133,963000000,133,963000000,133,963000000
134166000000,"(26955, 26952, 26959, 26954)","(2355.653824837019, 2966.8821652323786, 1981.271864623435, 2642.1067803253254)",134,165000000,134,165000000,134,165000000
134366000000,"(26955, 26952, 26959, 26954)","(2296.313037281669, 2923.5147620710422, 2011.136845697905, 2736.5207550968103)",134,365000000,134,365000000,134,365000000
134582000000,"(26955, 26952, 26959, 26954)","(2281.615323717912, 2846.8765962088773, 2065.3583471016364, 2757.6184774483672)",134,580000000,134,580000000,134,580000000
134784000000,"(26955, 26952, 26959, 26954)","(2207.3586419892476, 2891.396891953119, 2127.224398625378, 2774.2676226297276)",134,783000000,134,783000000,134,783000000
134985000000,"(26955, 26952, 26959, 26954)","(2175.021050707538, 2773.8735527694125, 2201.6571501652375, 2803.698310197207)",134,984000000,134,984000000,134,984000000
135186000000,"(26955, 26952, 26959, 26954)","(2098.58752077532, 2751.5184191353937, 2210.068727904842, 2844.979023993286)",135,185000000,135,185000000,135,185000000
135387000000,"(26955, 26952, 26959, 26954)","(2063.62144791273, 2691.7442080293617, 2308.726138243113, 2877.8162486463343)",135,386000000,135,386000000,135,386000000
135589000000,"(26955, 26952, 26959, 26954)","(2027.5033848966084, 2689.7411354970545, 2348.765673350933, 2924.6409208406735)",135,588000000,135,588000000,135,588000000
135790000000,"(26955, 26952, 26959, 26954)","(1970.0249091547503, 2640.5779141434446, 2378.211305064465, 2970.5474217470455)",135,790000000,135,790000000,135,790000000
135993000000,"(26955, 26952, 26959, 26954)","(1905.173004438439, 2645.748013784712, 2455.2519935010478, 2965.424460576275)",135,992000000,135,992000000,135,992000000
136197000000,"(26955, 26952, 26959, 26954)","(1872.3802555628129, 2544.8683547682504, 2467.023026486487, 3043.646557071088)",136,196000000,136,196000000,136,196000000
136398000000,"(26955, 26952, 26959, 26954)","(1827.250818285483, 2517.6296516454904, 2507.125071118821, 3055.682381691208)",136,396000000,136,396000000,136,396000000
136597000000,"(26955, 26952, 26959, 26954)","(1824.451163214223, 2514.850807414953, 2585.608849718512, 3129.8686506900685)",136,596000000,136,596000000,136,596000000
136796000000,"(26955, 26952, 26959, 26954)","(1735.5046540269225, 2493.3081515921685, 2602.311121999834, 3155.7015253257578)",136,796000000,136,796000000,136,796000000
136995000000,"(26955, 26952, 26959, 26954)","(1695.8411975336794, 2431.2825042929767, 2691.663654681678, 3197.9684502865825)",136,996000000,136,996000000,136,996000000
137197000000,"(26955, 26952, 26959, 26954)","(1642.9946851488658, 2400.2551978650054, 2717.787363286834, 3259.053067390022)",137,196000000,137,196000000,137,196000000
137397000000,"(26955, 26952, 26959, 26954)","(1609.5610290421766, 2370.4389315945796, 2782.6627743627405, 3264.726281455776)",137,396000000,137,396000000,137,396000000
137600000000,"(26955, 26952, 26959, 26954)","(1566.813514750936, 2336.562017390811, 2847.995798481051, 3331.9150957700417)",137,597000000,137,597000000,137,597000000
137799000000,"(26955, 26952, 26959, 26954)","(1525.2952676639134, 2307.59209278326, 2873.0521036102855, 3380.253516087948)",137,799000000,137,799000000,137,799000000
138003000000,"(26955, 26952, 26959, 26954)","(1472.0424142576467, 2287.7305943382717, 2930.5655809340356, 3400.7130447239156)",138,0,138,0,138,0
138203000000,"(26955, 26952, 26959, 26954)","(1425.6583702688567, 2281.6320365305764, 2949.58579196225, 3449.588430070577)",138,202000000,138,202000000,138,202000000
138405000000,"(26955, 26952, 26959, 26954)","(1400.652338704199, 2231.86938535513, 3047.8315890259864, 3474.8746862059793)",138,404000000,138,404000000,138,404000000
138606000000,"(26955, 26952, 26959, 26954)","(1352.1610742222324, 2197.920142316547, 3100.790192339099, 3498.074727108826)",138,604000000,138,604000000,138,604000000
138814000000,"(26955, 26952, 26959, 26954)","(1335.0735179699388, 2185.436445989935, 3105.964892602071, 3570.0253684931736)",138,812000000,138,812000000,138,812000000
139013000000,"(26955, 26952, 26959, 26954)","(1307.4533617753173, 2137.208689050704, 3165.457817840484, 3600.0032146596714)",139,12000000,139,12000000,139,12000000
139213000000,"(26955, 26952, 26959, 26954)","(1265.692408297631, 2085.4710256738563, 3234.590183804196, 3671.7793370720206)",139,212000000,139,212000000,139,212000000
139416000000,"(26955, 26952, 26959, 26954)","(1238.7630680896748, 2082.716520437267, 3275.9934302226084, 3680.5480600397204)",139,414000000,139,414000000,139,414000000
139616000000,"(26955, 26952, 26959, 26954)","(1226.4406382508662, 2041.7275901898765, 3313.907486101799, 3777.7540320922812)",139,616000000,139,616000000,139,616000000
139816000000,"(26955, 26952, 26959, 26954)","(1214.6100805594667, 2005.7749456965814, 3393.954439715047, 3745.5148694137506)",139,816000000,139,816000000,139,816000000
140020000000,"(26955, 26952, 26959, 26954)","(1187.4945571574356, 1974.9040215029916, 3418.2547364317093, 3776.1605723683374)",140,17000000,140,17000000,140,17000000
140221000000,"(26955, 26952, 26959, 26954)","(1182.5058291371615, 1935.7869077097087, 3507.7640119753496, 3813.11593879385)",140,221000000,140,221000000,140,221000000
140422000000,"(26955, 26952, 26959, 26954)","(1172.5595776086448, 1890.7902473472986, 3567.502649160146, 3825.2758893453665)",140,421000000,140,421000000,140,421000000
140624000000,"(26955, 26952, 26959, 26954)","(1192.3034066774587, 1866.0804853926008, 3645.634394112162, 3836.9653361134265)",140,625000000,140,625000000,140,625000000
140832000000,"(26955, 26952, 26959, 26954)","(1189.0572119650897, 1816.0978555422564, 3633.6350339288983, 3933.8233636033315)",140,831000000,140,831000000,140,831000000
141033000000,"(26955, 26952, 26959, 26954)","(1200.6673934479877, 1782.2231445188497, 3683.887461931274, 3913.1513361053335)",141,33000000,141,33000000,141,33000000
141236000000,"(26955, 26952, 26959, 26954)","(1199.9045915482768, 1751.5421386533258, 3720.1152576283835, 3947.554043424232)",141,235000000,141,235000000,141,235000000
141436000000,"(26955, 26952, 26959, 26954)","(1206.3406185080696, 1724.9897203229787, 3734.588747066828, 3926.349115733078)",141,435000000,141,435000000,141,435000000
141636000000,"(26955, 26952, 26959, 26954)","(1220.2060478822248, 1680.2510668162847, 3806.8122466483273, 3987.1818330376605)",141,636000000,141,636000000,141,636000000
141838000000,"(26955, 26952, 26959, 26954)","(1229.9192569410025, 1657.8034478560646, 3801.835406269116, 3974.311425035607)",141,836000000,141,836000000,141,836000000
142040000000,"(26955, 26952, 26959, 26954)","(1240.531232331008, 1639.491877353692, 3884.27785141951, 4004.881004736518)",142,39000000,142,39000000,142,39000000
142242000000,"(26955, 26952, 26959, 26954)","(1262.2834663716167, 1604.897596459418, 3896.935837197866, 4020.031458385339)",142,242000000,142,242000000,142,242000000
142445000000,"(26955, 26952, 26959, 26954)","(1255.5503209586527, 1587.6668481202753, 3871.24920323816, 4013.480865454876)",142,443000000,142,443000000,142,443000000
142644000000,"(26955, 26952, 26959, 26954)","(1266.3655461295805, 1579.221766519926, 3939.7500704939353, 4076.000023606882)",142,643000000,142,643000000,142,643000000
142844000000,"(26955, 26952, 26959, 26954)","(1295.6076511802708, 1553.027534926344, 3952.3446818439925, 4061.894511894573)",142,843000000,142,843000000,142,843000000
143044000000,"(26955, 26952, 26959, 26954)","(1311.381516018137, 1533.6355132078672, 4001.375505892795, 4007.3015739058123)",143,43000000,143,43000000,143,43000000
143243000000,"(26955, 26952, 26959, 26954)","(1330.0818240138076, 1490.7998844083518, 3987.086203929704, 4112.5506096180925)",143,243000000,143,243000000,143,243000000
143446000000,"(26955, 26952, 26959, 26954)","(1318.4095537836386, 1486.1852628266445, 3964.867411069878, 4042.280926857145)",143,444000000,143,444000000,143,444000000
143649000000,"(26955, 26952, 26959, 26954)","(1349.376447665672, 1498.7022223709791, 4038.5078414390287, 4021.279732670296)",143,648000000,143,648000000,143,648000000
143849000000,"(26955, 26952, 26959, 26954)","(1343.634254434502, 1493.679602186919, 4011.2740950603315, 4063.2844394487747)",143,848000000,143,848000000,143,848000000
144048000000,"(26955, 26952, 26959, 26954)","(1339.3861564821648, 1508.2528399922685, 4000.3522254198692, 4088.4725530188075)",144,50000000,144,50000000,144,50000000
144251000000,"(26955, 26952, 26959, 26954)","(1342.962074814958, 1486.417190731215, 3995.133613991383, 4065.2710748271293)",144,250000000,144,250000000,144,250000000
144452000000,"(26955, 26952, 26959, 26954)","(1340.6481286439175, 1485.7504865996152, 4021.539931965538, 4062.3899099260943)",144,450000000,144,450000000,144,450000000
144652000000,"(26955, 26952, 26959, 26954)","(1331.5212054549945, 1491.9764534087794, 4038.3805722814477, 4093.9142396133525)",144,652000000,144,652000000,144,652000000
144852000000,"(26955, 26952, 26959, 26954)","(1337.6291248740763, 1500.7022277382966, 3983.802345669111, 4092.161931059379)",144,852000000,144,852000000,144,852000000
145053000000,"(26955, 26952, 26959, 26954)","(1328.1161274030792, 1496.7372981818294, 4002.906890179244, 4076.0570260246654)",145,52000000,145,52000000,145,52000000
145253000000,"(26955, 26952, 26959, 26954)","(1339.62201802821, 1501.2299125382306, 4016.9059883003233, 4047.3188557810035)",145,252000000,145,252000000,145,252000000
