time,destination_id,distance,stamp
1970/01/01/02:02:06.090000,"(26955, 26952, 26959, 26954)","(3124.965101377269, 2775.1297465314383, 2266.6060367047894, 1783.2758064289192)","[genpy.Time[126089000000], genpy.Time[126089000000], genpy.Time[126089000000]]"
1970/01/01/02:02:06.291000,"(26955, 26952, 26959, 26954)","(3116.4490729732174, 2834.1706187578447, 2217.2151276857653, 1803.5172439581372)","[genpy.Time[126290000000], genpy.Time[126290000000], genpy.Time[126290000000]]"
1970/01/01/02:02:06.497000,"(26955, 26952, 26959, 26954)","(3052.9316133078773, 2829.621265665669, 2167.052400406289, 1828.1601889937438)","[genpy.Time[126495000000], genpy.Time[126495000000], genpy.Time[126495000000]]"
1970/01/01/02:02:06.696000,"(26955, 26952, 26959, 26954)","(3003.084775072846, 2862.956768791672, 2118.0626013460587, 1861.168583869572)","[genpy.Time[126695000000], genpy.Time[126695000000], genpy.Time[126695000000]]"
1970/01/01/02:02:06.896000,"(26955, 26952, 26959, 26954)","(2985.8372655863695, 2844.5240868576147, 2090.0792108317714, 1880.7304536068716)","[genpy.Time[126896000000], genpy.Time[126896000000], genpy.Time[126896000000]]"
1970/01/01/02:02:07.101000,"(26955, 26952, 26959, 26954)","(3001.6828128006687, 2907.48102043576, 2069.3020156967173, 1954.6343800468735)","[genpy.Time[127101000000], genpy.Time[127101000000], genpy.Time[127101000000]]"
1970/01/01/02:02:07.301000,"(26955, 26952, 26959, 26954)","(2953.4425832433462, 2899.6554224939323, 2014.659891643614, 1964.1210343554335)","[genpy.Time[127301000000], genpy.Time[127301000000], genpy.Time[127301000000]]"
1970/01/01/02:02:07.502000,"(26955, 26952, 26959, 26954)","(2918.337502952012, 2939.5144994075727, 1972.1457595933198, 2015.5587045300094)","[genpy.Time[127501000000], genpy.Time[127501000000], genpy.Time[127501000000]]"
1970/01/01/02:02:07.703000,"(26955, 26952, 26959, 26954)","(2917.458458101734, 2921.036574230216, 1971.702500605574, 2046.3534285586945)","[genpy.Time[127702000000], genpy.Time[127702000000], genpy.Time[127702000000]]"
1970/01/01/02:02:07.905000,"(26955, 26952, 26959, 26954)","(2860.807770546894, 2992.2521971187803, 1924.782414846482, 2095.7090940397516)","[genpy.Time[127905000000], genpy.Time[127905000000], genpy.Time[127905000000]]"
1970/01/01/02:02:08.106000,"(26955, 26952, 26959, 26954)","(2848.961017541943, 2996.6661251065857, 1903.8454207801838, 2136.1367553606165)","[genpy.Time[128106000000], genpy.Time[128106000000], genpy.Time[128106000000]]"
1970/01/01/02:02:08.308000,"(26955, 26952, 26959, 26954)","(2767.039273326795, 3011.0693308208965, 1862.4585438293627, 2169.379561680156)","[genpy.Time[128308000000], genpy.Time[128308000000], genpy.Time[128308000000]]"
1970/01/01/02:02:08.510000,"(26955, 26952, 26959, 26954)","(2775.6337067682334, 3038.656044480706, 1830.2895124463498, 2182.909991891895)","[genpy.Time[128510000000], genpy.Time[128510000000], genpy.Time[128510000000]]"
1970/01/01/02:02:08.712000,"(26955, 26952, 26959, 26954)","(2803.7808372415793, 3076.6123370462237, 1838.0873773182104, 2213.2631805964265)","[genpy.Time[128711000000], genpy.Time[128711000000], genpy.Time[128711000000]]"
1970/01/01/02:02:08.912000,"(26955, 26952, 26959, 26954)","(2746.019017860934, 3059.4128492409754, 1841.350149509496, 2247.5517850856745)","[genpy.Time[128912000000], genpy.Time[128912000000], genpy.Time[128912000000]]"
1970/01/01/02:02:09.113000,"(26955, 26952, 26959, 26954)","(2760.8453423740757, 3066.1106088829692, 1804.4054683260565, 2295.8046300923393)","[genpy.Time[129112000000], genpy.Time[129112000000], genpy.Time[129112000000]]"
1970/01/01/02:02:09.315000,"(26955, 26952, 26959, 26954)","(2745.2081870433753, 3088.544976475264, 1794.743469519296, 2289.2881034579145)","[genpy.Time[129313000000], genpy.Time[129313000000], genpy.Time[129313000000]]"
