time,.destination_id,.distance,.stamp
1970/01/01/02:31:39.165000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1433.6606297630751, 2078.026668558891, 2845.083509439732, 3369.673474156308, 1581.9272808971198, 2333.233127465556)","[genpy.Time[1899162000000], genpy.Time[1899162000000], genpy.Time[1899162000000]]"
1970/01/01/02:31:39.362000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1482.525657330306, 2139.321212304256, 2903.766502281791, 3329.546889118751, 1512.3960300400615, 2318.0809864744383)","[genpy.Time[1899362000000], genpy.Time[1899362000000], genpy.Time[1899362000000]]"
1970/01/01/02:31:39.565000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1556.5890203818647, 2192.8825518887074, 2929.712791381755, 3425.759036570218, 1479.4633293954503, 2259.431718930627)","[genpy.Time[1899565000000], genpy.Time[1899565000000], genpy.Time[1899565000000]]"
1970/01/01/02:31:39.767000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1623.0364493835684, 2229.796447896142, 2977.2139334205795, 3447.4838033854717, 1421.3028150229795, 2241.809515046116)","[genpy.Time[1899767000000], genpy.Time[1899767000000], genpy.Time[1899767000000]]"
1970/01/01/02:31:39.974000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1644.9180667743672, 2242.4468801724456, 3050.898937334649, 3478.1597851478755, 1380.792992500174, 2223.3846744365414)","[genpy.Time[1899973000000], genpy.Time[1899973000000], genpy.Time[1899973000000]]"
1970/01/01/02:31:40.179000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1715.9947358798154, 2310.1642609140963, 3052.570497149454, 3533.4531608279563, 1347.5619835148302, 2240.726793821897)","[genpy.Time[1900177000000], genpy.Time[1900177000000], genpy.Time[1900177000000]]"
1970/01/01/02:31:40.380000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1754.0123690301366, 2340.323067695922, 3167.3293542326455, 3540.372375069393, 1306.0847846679812, 2166.3118541050617)","[genpy.Time[1900379000000], genpy.Time[1900379000000], genpy.Time[1900379000000]]"
1970/01/01/02:31:40.585000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1831.521467680876, 2409.3793807367606, 3191.6354339039094, 3543.3892132771066, 1277.2895480396867, 2125.9227721336993)","[genpy.Time[1900584000000], genpy.Time[1900584000000], genpy.Time[1900584000000]]"
1970/01/01/02:31:40.787000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1870.331497491839, 2448.0848984176955, 3256.4111046066723, 3668.889996179412, 1235.1248693396774, 2134.629498343222)","[genpy.Time[1900785000000], genpy.Time[1900785000000], genpy.Time[1900785000000]]"
1970/01/01/02:31:40.987000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1936.6344919907706, 2468.791272749517, 3266.8619403871385, 3728.8581556312315, 1200.9250643076168, 2075.495657771594)","[genpy.Time[1900986000000], genpy.Time[1900986000000], genpy.Time[1900986000000]]"
1970/01/01/02:31:41.192000,"(26956, 26957, 26955, 26952, 26959, 26954)","(1989.5739908375315, 2554.3194822880396, 3341.0266359033517, 3746.8439731691483, 1171.5011941861442, 2090.151063710906)","[genpy.Time[1901191000000], genpy.Time[1901191000000], genpy.Time[1901191000000]]"
1970/01/01/02:31:41.395000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2049.2344266806385, 2581.333945732253, 3453.3355273126335, 3785.787700351627, 1146.9371109859278, 2029.650015198282)","[genpy.Time[1901392000000], genpy.Time[1901392000000], genpy.Time[1901392000000]]"
1970/01/01/02:31:41.598000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2072.5700804896132, 2657.918666628447, 3382.690563793175, 3881.8334490975853, 1109.5377113062962, 2044.7285798214673)","[genpy.Time[1901595000000], genpy.Time[1901595000000], genpy.Time[1901595000000]]"
1970/01/01/02:31:41.795000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2082.221300397782, 2701.9451597635284, 3451.1494894284274, 3876.961217735258, 1082.59594742131, 2044.069570269517)","[genpy.Time[1901795000000], genpy.Time[1901795000000], genpy.Time[1901795000000]]"
1970/01/01/02:31:41.998000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2126.8269585705275, 2705.0294207473744, 3528.186906828911, 3878.145696616117, 1064.8741958300334, 2010.809633474757)","[genpy.Time[1901997000000], genpy.Time[1901997000000], genpy.Time[1901997000000]]"
1970/01/01/02:31:42.205000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2175.4882390152893, 2760.7677003816334, 3558.788861439516, 3924.7755718938406, 1051.657928002271, 1962.1980682714345)","[genpy.Time[1902199000000], genpy.Time[1902199000000], genpy.Time[1902199000000]]"
1970/01/01/02:31:42.400000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2205.646945696455, 2730.698636859746, 3566.874880281799, 3974.706092610251, 1025.5874946418292, 1986.4458762703405)","[genpy.Time[1902399000000], genpy.Time[1902399000000], genpy.Time[1902399000000]]"
1970/01/01/02:31:42.600000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2273.5738497989028, 2794.695740071541, 3621.136043009081, 3976.117363436536, 1020.8990631301257, 1960.249479935485)","[genpy.Time[1902599000000], genpy.Time[1902599000000], genpy.Time[1902599000000]]"
1970/01/01/02:31:42.800000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2295.7917494718363, 2861.2392865149886, 3591.439197147788, 4004.802905935275, 1017.6247729999358, 1941.7832697020433)","[genpy.Time[1902799000000], genpy.Time[1902799000000], genpy.Time[1902799000000]]"
1970/01/01/02:31:43.000000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2342.9053786940294, 2901.8254453452787, 3679.089895471222, 4046.2597353981078, 1018.5597010584295, 1920.7291484832626)","[genpy.Time[1903000000000], genpy.Time[1903000000000], genpy.Time[1903000000000]]"
1970/01/01/02:31:43.200000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2399.8692310327397, 2913.717276155621, 3744.554769739019, 4061.62800984907, 1032.735872638299, 1887.797101359938)","[genpy.Time[1903200000000], genpy.Time[1903200000000], genpy.Time[1903200000000]]"
1970/01/01/02:31:43.400000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2437.796475867844, 2922.046838170652, 3833.177944501763, 4126.575234156463, 1028.132265874169, 1866.2844898510984)","[genpy.Time[1903400000000], genpy.Time[1903400000000], genpy.Time[1903400000000]]"
1970/01/01/02:31:43.602000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2441.602478185859, 2965.0304224883234, 3859.9672712996785, 4145.541407698631, 1043.9934400745608, 1833.1534326195047)","[genpy.Time[1903600000000], genpy.Time[1903600000000], genpy.Time[1903600000000]]"
1970/01/01/02:31:43.801000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2517.340599099534, 2967.3661236132257, 3870.2741503850802, 4164.235710056454, 1080.3407638695955, 1765.957915560689)","[genpy.Time[1903801000000], genpy.Time[1903801000000], genpy.Time[1903801000000]]"
1970/01/01/02:31:44.004000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2544.2136356144388, 2965.859653779619, 3915.3540472966847, 4146.621557629542, 1113.1790801101276, 1750.0576654712863)","[genpy.Time[1904001000000], genpy.Time[1904001000000], genpy.Time[1904001000000]]"
1970/01/01/02:31:44.202000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2565.7337164609403, 2961.156127642853, 3960.415526706458, 4129.592673042423, 1132.7610675857984, 1684.7468743827962)","[genpy.Time[1904202000000], genpy.Time[1904202000000], genpy.Time[1904202000000]]"
1970/01/01/02:31:44.383000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2613.5914085437475, 2983.4546018276455, 4008.105169669092, 4181.437609049632, 1189.33528993462, 1636.5149622588451)","[genpy.Time[1904404000000], genpy.Time[1904404000000], genpy.Time[1904404000000]]"
1970/01/01/02:31:44.609000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2615.5244543401072, 3005.077124952781, 4008.6602889532314, 4162.530855764687, 1234.9953145200445, 1574.3665871709463)","[genpy.Time[1904604000000], genpy.Time[1904604000000], genpy.Time[1904604000000]]"
1970/01/01/02:31:44.812000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2655.7342750261423, 2986.524827701935, 4024.483763120609, 4149.598480860846, 1281.0935029801997, 1527.8697134553895)","[genpy.Time[1904810000000], genpy.Time[1904810000000], genpy.Time[1904810000000]]"
1970/01/01/02:31:45.014000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2685.8530650512894, 3007.8204894292426, 4094.516167106807, 4136.145768593911, 1331.2084719729048, 1498.6661548927045)","[genpy.Time[1905014000000], genpy.Time[1905014000000], genpy.Time[1905014000000]]"
1970/01/01/02:31:45.212000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2689.657156976176, 3002.0063107685833, 4121.688184325572, 4125.622090080272, 1383.4618249109105, 1415.8094221941212)","[genpy.Time[1905215000000], genpy.Time[1905215000000], genpy.Time[1905215000000]]"
1970/01/01/02:31:45.419000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2706.174043638877, 3030.2647896288545, 4123.665046368317, 4109.548577011938, 1423.6656188733186, 1393.0290900244083)","[genpy.Time[1905416000000], genpy.Time[1905416000000], genpy.Time[1905416000000]]"
1970/01/01/02:31:45.621000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2725.994539261858, 3023.6844900201118, 4132.623403586372, 4116.2842714744265, 1461.694349901077, 1353.5847168086862)","[genpy.Time[1905618000000], genpy.Time[1905618000000], genpy.Time[1905618000000]]"
1970/01/01/02:31:45.827000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2695.518609076437, 2969.9154593510725, 4146.281509976519, 4137.765821989467, 1494.562925916647, 1302.414013511394)","[genpy.Time[1905822000000], genpy.Time[1905822000000], genpy.Time[1905822000000]]"
1970/01/01/02:31:46.024000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2762.323533741766, 2997.686452718568, 4176.286944815462, 4079.6465354473244, 1515.2311721708402, 1289.4048370680255)","[genpy.Time[1906022000000], genpy.Time[1906022000000], genpy.Time[1906022000000]]"
1970/01/01/02:31:46.224000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2751.1521446405854, 2937.9099034981627, 4194.861746097602, 4011.7469323618316, 1569.3859684979357, 1238.5458449159346)","[genpy.Time[1906224000000], genpy.Time[1906224000000], genpy.Time[1906224000000]]"
1970/01/01/02:31:46.425000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2747.2085093741803, 2900.67361303149, 4280.898298221885, 4044.111342837975, 1593.0394460088658, 1220.502491752831)","[genpy.Time[1906424000000], genpy.Time[1906424000000], genpy.Time[1906424000000]]"
1970/01/01/02:31:46.626000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2757.387161856306, 2941.114124692198, 4197.393533500995, 4109.419893087641, 1597.131667347826, 1200.034890579868)","[genpy.Time[1906625000000], genpy.Time[1906625000000], genpy.Time[1906625000000]]"
