time,destination_id,distance,stamp
1970/01/01/02:03:40.073000,"(26955, 26952, 26959, 26954)","(3323.17360348754, 908.5076636177406, 5812.240077569588, 4904.307818470361)","[genpy.Time[220073000000], genpy.Time[220073000000], genpy.Time[220073000000]]"
1970/01/01/02:03:40.274000,"(26955, 26952, 26959, 26954)","(3287.4786905954425, 869.0646159665342, 5783.588146884566, 4855.591668753153)","[genpy.Time[220274000000], genpy.Time[220274000000], genpy.Time[220274000000]]"
1970/01/01/02:03:40.475000,"(26955, 26952, 26959, 26954)","(3255.3193434835152, 837.1890353173693, 5707.962237298833, 4770.202759897558)","[genpy.Time[220475000000], genpy.Time[220475000000], genpy.Time[220475000000]]"
1970/01/01/02:03:40.676000,"(26955, 26952, 26959, 26954)","(3261.5079574106844, 801.7952909253079, 5702.153886197454, 4724.745153859752)","[genpy.Time[220675000000], genpy.Time[220675000000], genpy.Time[220675000000]]"
1970/01/01/02:03:40.877000,"(26955, 26952, 26959, 26954)","(3284.5322751304907, 774.2466664357826, 5672.476100039572, 4676.047854264899)","[genpy.Time[220875000000], genpy.Time[220875000000], genpy.Time[220875000000]]"
1970/01/01/02:03:41.079000,"(26955, 26952, 26959, 26954)","(3253.3649412357854, 740.7443905858107, 5549.504491291429, 4657.023687436298)","[genpy.Time[221077000000], genpy.Time[221077000000], genpy.Time[221077000000]]"
1970/01/01/02:03:41.278000,"(26955, 26952, 26959, 26954)","(3270.482199767737, 709.8174245213968, 5621.67116800541, 4614.730456596676)","[genpy.Time[221278000000], genpy.Time[221278000000], genpy.Time[221278000000]]"
1970/01/01/02:03:41.481000,"(26955, 26952, 26959, 26954)","(3209.139342838884, 668.5155186652382, 5579.764405848529, 4584.25661829598)","[genpy.Time[221479000000], genpy.Time[221479000000], genpy.Time[221479000000]]"
1970/01/01/02:03:41.680000,"(26955, 26952, 26959, 26954)","(3179.659663679863, 627.09962771905, 5521.497965958895, 4481.131708034028)","[genpy.Time[221680000000], genpy.Time[221680000000], genpy.Time[221680000000]]"
1970/01/01/02:03:41.880000,"(26955, 26952, 26959, 26954)","(3232.1239298572104, 604.3138984581716, 5557.2617059196955, 4505.881335987698)","[genpy.Time[221880000000], genpy.Time[221880000000], genpy.Time[221880000000]]"
1970/01/01/02:03:42.081000,"(26955, 26952, 26959, 26954)","(3217.1185552118886, 587.1015279090531, 5458.460410129446, 4517.036626147331)","[genpy.Time[222080000000], genpy.Time[222080000000], genpy.Time[222080000000]]"
1970/01/01/02:03:42.282000,"(26955, 26952, 26959, 26954)","(3238.5838549049017, 554.7543552132686, 5434.364089828871, 4431.039383875117)","[genpy.Time[222282000000], genpy.Time[222282000000], genpy.Time[222282000000]]"
1970/01/01/02:03:42.483000,"(26955, 26952, 26959, 26954)","(3215.2458942157436, 529.8826615292255, 5359.015123757765, 4412.340125161495)","[genpy.Time[222483000000], genpy.Time[222483000000], genpy.Time[222483000000]]"
1970/01/01/02:03:42.685000,"(26955, 26952, 26959, 26954)","(3229.406213046212, 497.15658726550976, 5385.306932337264, 4362.904941113795)","[genpy.Time[222683000000], genpy.Time[222683000000], genpy.Time[222683000000]]"
1970/01/01/02:03:42.885000,"(26955, 26952, 26959, 26954)","(3220.141406064058, 478.243082744711, 5359.57126614139, 4302.2381836487275)","[genpy.Time[222884000000], genpy.Time[222884000000], genpy.Time[222884000000]]"
1970/01/01/02:03:43.086000,"(26955, 26952, 26959, 26954)","(3209.9155629500656, 456.14202234940353, 5284.40458163784, 4276.967762558637)","[genpy.Time[223085000000], genpy.Time[223085000000], genpy.Time[223085000000]]"
1970/01/01/02:03:43.288000,"(26955, 26952, 26959, 26954)","(3162.3170575684494, 432.15723194312096, 5254.024135956092, 4236.553631880348)","[genpy.Time[223287000000], genpy.Time[223287000000], genpy.Time[223287000000]]"
1970/01/01/02:03:43.488000,"(26955, 26952, 26959, 26954)","(3190.147299728435, 416.4079738198305, 5251.753326071137, 4232.236169802762)","[genpy.Time[223487000000], genpy.Time[223487000000], genpy.Time[223487000000]]"
1970/01/01/02:03:43.687000,"(26955, 26952, 26959, 26954)","(3169.2030558707556, 402.2570710008831, 5218.258721472934, 4174.964409108893)","[genpy.Time[223687000000], genpy.Time[223687000000], genpy.Time[223687000000]]"
1970/01/01/02:03:43.890000,"(26955, 26952, 26959, 26954)","(3168.3870932260716, 391.1554369796901, 5222.55222864671, 4108.596394378865)","[genpy.Time[223889000000], genpy.Time[223889000000], genpy.Time[223889000000]]"
1970/01/01/02:03:44.090000,"(26955, 26952, 26959, 26954)","(3180.6209968449098, 380.99368716345435, 5151.923576631664, 4096.27141933461)","[genpy.Time[224089000000], genpy.Time[224089000000], genpy.Time[224089000000]]"
1970/01/01/02:03:44.291000,"(26955, 26952, 26959, 26954)","(3190.13391323702, 376.45317770122193, 5137.691055546755, 4082.8214407900523)","[genpy.Time[224291000000], genpy.Time[224291000000], genpy.Time[224291000000]]"
1970/01/01/02:03:44.491000,"(26955, 26952, 26959, 26954)","(3172.3625013243486, 380.6255639982461, 5060.252323386717, 3981.0410223844265)","[genpy.Time[224491000000], genpy.Time[224491000000], genpy.Time[224491000000]]"
