time,.destination_id,.distance,.stamp
1970/01/01/02:01:20.794000,"(26955, 26952, 26959, 26954)","(1913.1590648943854, 2569.17502900083, 2460.485789430759, 3015.777970672538)","[genpy.Time[80792000000], genpy.Time[80792000000], genpy.Time[80792000000]]"
1970/01/01/02:01:20.993000,"(26955, 26952, 26959, 26954)","(1968.9289310702025, 2588.5632003240567, 2448.6075017622397, 2993.3929403823445)","[genpy.Time[80993000000], genpy.Time[80993000000], genpy.Time[80993000000]]"
1970/01/01/02:01:21.195000,"(26955, 26952, 26959, 26954)","(1987.509981024042, 2596.576591855372, 2391.568721215021, 2964.0506945608095)","[genpy.Time[81194000000], genpy.Time[81194000000], genpy.Time[81194000000]]"
1970/01/01/02:01:21.394000,"(26955, 26952, 26959, 26954)","(2068.433120852307, 2601.3537938079785, 2338.6511556714327, 2872.90447756264)","[genpy.Time[81395000000], genpy.Time[81395000000], genpy.Time[81395000000]]"
1970/01/01/02:01:21.597000,"(26955, 26952, 26959, 26954)","(2099.845570167886, 2708.656208717701, 2304.819739291843, 2804.512553983329)","[genpy.Time[81596000000], genpy.Time[81596000000], genpy.Time[81596000000]]"
1970/01/01/02:01:21.799000,"(26955, 26952, 26959, 26954)","(2140.432209107181, 2702.758403799227, 2254.4940724564212, 2795.3851717037637)","[genpy.Time[81797000000], genpy.Time[81797000000], genpy.Time[81797000000]]"
1970/01/01/02:01:22.001000,"(26955, 26952, 26959, 26954)","(2214.083408788537, 2719.292731010834, 2201.7953519527427, 2733.907248787782)","[genpy.Time[81999000000], genpy.Time[81999000000], genpy.Time[81999000000]]"
1970/01/01/02:01:22.202000,"(26955, 26952, 26959, 26954)","(2261.815662817763, 2751.0355634142106, 2176.2180197118396, 2729.756973573751)","[genpy.Time[82201000000], genpy.Time[82201000000], genpy.Time[82201000000]]"
1970/01/01/02:01:22.389000,"(26955, 26952, 26959, 26954)","(2300.1641030342535, 2804.4384308642, 2168.6388063803665, 2659.688084924792)","[genpy.Time[82407000000], genpy.Time[82407000000], genpy.Time[82407000000]]"
1970/01/01/02:01:22.608000,"(26955, 26952, 26959, 26954)","(2356.9138612862653, 2802.3997410433003, 2092.024187590635, 2600.754960346484)","[genpy.Time[82607000000], genpy.Time[82607000000], genpy.Time[82607000000]]"
1970/01/01/02:01:22.811000,"(26955, 26952, 26959, 26954)","(2426.206942489856, 2819.8168628829435, 2091.439245620548, 2522.2770802918935)","[genpy.Time[82811000000], genpy.Time[82811000000], genpy.Time[82811000000]]"
1970/01/01/02:01:23.012000,"(26955, 26952, 26959, 26954)","(2460.5271023179193, 2829.048324081837, 2055.113624558587, 2452.6318767252005)","[genpy.Time[83011000000], genpy.Time[83011000000], genpy.Time[83011000000]]"
1970/01/01/02:01:23.213000,"(26955, 26952, 26959, 26954)","(2491.944829571162, 2854.2146575658217, 2039.3911178885644, 2422.6067855689303)","[genpy.Time[83213000000], genpy.Time[83213000000], genpy.Time[83213000000]]"
1970/01/01/02:01:23.417000,"(26955, 26952, 26959, 26954)","(2540.5538148023516, 2854.2863572233805, 2015.7213844658838, 2385.356340084383)","[genpy.Time[83416000000], genpy.Time[83416000000], genpy.Time[83416000000]]"
1970/01/01/02:01:23.617000,"(26955, 26952, 26959, 26954)","(2593.0087736945643, 2883.2517244092205, 2038.7466246776355, 2365.2435958843053)","[genpy.Time[83617000000], genpy.Time[83617000000], genpy.Time[83617000000]]"
1970/01/01/02:01:23.820000,"(26955, 26952, 26959, 26954)","(2669.825480686593, 2861.0527173188993, 2013.2697741551137, 2296.299052632476)","[genpy.Time[83818000000], genpy.Time[83818000000], genpy.Time[83818000000]]"
1970/01/01/02:01:24.021000,"(26955, 26952, 26959, 26954)","(2724.1105216975175, 2874.6576405061473, 1980.9684639848717, 2282.8949253600636)","[genpy.Time[84022000000], genpy.Time[84022000000], genpy.Time[84022000000]]"
1970/01/01/02:01:24.225000,"(26955, 26952, 26959, 26954)","(2687.9640830614435, 2875.779673048018, 1980.8616776945391, 2202.7854960907957)","[genpy.Time[84224000000], genpy.Time[84224000000], genpy.Time[84224000000]]"
1970/01/01/02:01:24.428000,"(26955, 26952, 26959, 26954)","(2750.6453805446795, 2872.7278805086194, 1980.2149795301518, 2162.1894864416536)","[genpy.Time[84427000000], genpy.Time[84427000000], genpy.Time[84427000000]]"
